Quantum_Key_Size_bits,Quantum_Protocol_Type,Key_Distribution_Method,Encryption_Latency_ms,Decryption_Latency_ms,Throughput_Mbps,Latency_ms,Packet_Loss_percent,Bandwidth_Utilization_percent,Round_Trip_Time_ms,Encryption_Strength,Attack_Type,Vulnerability_Level,Attack_Success_Rate_percent,Intrusion_Detection_Accuracy_percent,Data_Volume_GB,Data_Variety,Data_Velocity_MB_s,Data_Complexity,Real_Time_Processing,Resource_Utilization_CPU_percent,Resource_Utilization_Memory_percent,Energy_Consumption_kWh,Optimization_Level,Performance_Target
512,BB84,Hybrid QKD,35.15367735352754,21.343097271090752,146.88926093882282,49.64289605319902,0.7846376785416281,70.86231653301674,135.23713285147025,Low,Side Channel,High,38.2317090153184,90.52700647647194,591.1194621588969,Mixed,48.112247022137254,Structured,1,69.71518193064176,61.885495945444795,3.482189228373565,None,Suboptimal
512,BB84,Post-Quantum,79.43905173890984,47.622924155718685,54.52281198919194,4.260947800489943,4.303450612058121,80.30682776303445,79.3796810532471,Low,None,High,2.542435491408285,92.41668851069475,699.1774255622347,Mixed,11.28450685545828,Structured,1,84.9805677414234,67.51464028802997,3.2722706711253395,None,Suboptimal
512,E91,Hybrid QKD,93.68508805683243,67.78263458941274,244.8687236839892,22.604131605298218,4.008152607214673,87.82299563407594,98.42351574122237,High,Man-in-the-Middle,Medium,14.323746607405868,94.95298668223151,638.7819655310763,Audio,82.78520825618773,Semi-Structured,1,37.10442510488785,40.12860824291081,4.297842408317262,Caching,Suboptimal
1024,B92,QKD,71.39967278746504,55.76781824605424,618.9785145192243,19.96999662096112,1.2159190121669794,55.3533878742096,64.6373153805742,High,None,None,40.552422421778715,89.71214516030369,516.5766736705132,Images,89.27893803603048,Semi-Structured,0,87.8358324935653,54.99347517797399,0.5602321553098656,Parallel Processing,Suboptimal
128,E91,QKD,51.927749256456494,10.021324784554379,838.9715354672878,41.89055962072686,1.0273660406928982,53.90364450962167,49.824113878181606,Low,Man-in-the-Middle,Medium,22.67470504858445,91.87487432564984,247.9838002020746,Audio,15.603028144641256,Semi-Structured,0,62.82487482089767,68.0113733173181,0.47670487056991895,Parallel Processing,Suboptimal
1024,SARG04,Hybrid QKD,89.63197356483121,39.39342052314598,294.44752219492204,1.7918839086167693,2.122278360574492,85.64970456921918,79.05150649942138,High,Quantum Attack,Low,4.079332735722307,89.74634495118971,205.19901870433932,Text,39.653040642319816,Unstructured,0,36.62114423450841,32.80205948666436,0.7467749323363717,Parallel Processing,Suboptimal
1024,E91,Hybrid QKD,70.65428735838083,94.34167153731342,864.0148230558354,35.90609467686025,0.7290237011063205,52.20725734793936,119.5117144961829,Low,Side Channel,None,0.2612367879767985,95.32729218447425,728.1247981726949,Audio,39.96751651443178,Semi-Structured,1,31.574561359102894,77.27680883771819,2.8780655056505284,Compression,Suboptimal
512,SARG04,QKD,10.022459861885226,14.964077776492973,734.4089724420758,1.762294191395747,0.4198370154144254,76.84934801217602,41.836646394679406,Medium,Side Channel,Medium,43.97845824531188,96.98329431131667,393.0321502127244,Audio,67.46526046433118,Unstructured,0,57.21683044742335,59.12058661350833,4.221990870542829,Caching,Suboptimal
256,BB84,QKD,49.51087418973001,56.588237639727,734.2751102101997,17.68256908597148,0.32626319828308936,95.80824226347733,112.76410584532083,Low,Quantum Attack,Medium,9.174928697903106,85.78740836443913,25.379524190529352,Images,94.3459825853381,Unstructured,1,42.302861668694334,47.04063666295691,3.457518152055841,Compression,Optimal
1024,BB84,Hybrid QKD,65.39079042389349,83.88918130952406,705.7392853821343,24.473458670650253,4.99461917299567,92.72452188983064,60.04084520812695,Low,Side Channel,High,22.001036935124326,93.56722683684202,163.60740098496746,Text,66.24882152607381,Semi-Structured,0,21.97036427801399,50.6528445372306,3.2700866456357827,None,Suboptimal
128,SARG04,Post-Quantum,17.29521405790574,95.913225112208,723.5612318492136,37.43023191552709,1.5100827466882527,86.23164411413696,28.297954272722972,Low,Quantum Attack,High,18.597365491478136,98.30688389018829,926.5547039709044,Audio,72.98465546399581,Unstructured,1,70.76901005665314,77.83812133600841,1.064920132230267,None,Optimal
512,E91,Post-Quantum,26.763356223894487,47.672057796780926,396.0567442413701,16.90034968175162,3.0971641439489,55.897530438155776,195.48408678939072,Low,None,None,45.22285021222855,88.25927410023982,616.2772272629519,Text,49.54088057940677,Semi-Structured,1,67.59624399484267,24.593980514816526,4.770275690485936,None,Suboptimal
128,SARG04,Hybrid QKD,58.0523263967329,65.08072201665102,533.3774540266654,37.58560778709891,2.3318444410514787,74.06188282391378,155.31999363906866,Low,Side Channel,None,35.17384526277186,90.59979114716526,312.3085778616925,Text,98.3577280246914,Semi-Structured,0,62.32925458283845,58.63195699473941,3.9634921869167803,Parallel Processing,Suboptimal
1024,B92,QKD,33.935068698591046,37.18085826656065,684.0940116907165,16.31220552470981,2.42194107856934,72.55322520567172,151.09637810891678,Medium,Side Channel,High,41.98268564835641,94.3450738436529,504.9714836813357,Mixed,20.678845504121544,Semi-Structured,1,68.23557439491668,59.83091465749087,2.2443182384603806,None,Suboptimal
128,E91,Hybrid QKD,45.455089306187126,71.02032298177554,163.21975911731948,8.63230949732833,4.954363691283711,61.035336240497514,185.5051010610493,Low,Quantum Attack,Medium,34.25779954435298,86.11070309058843,415.93880178818915,Images,21.829486779060677,Semi-Structured,0,33.49240998943537,13.51251260166062,4.050227746459419,Compression,Suboptimal
128,B92,QKD,14.770026114201896,24.320472335458263,907.5598612784062,49.3020684089713,0.8785937834612451,69.43924309393732,159.66871115440767,Low,Man-in-the-Middle,High,11.383240760241403,83.5489336143845,59.36010568828732,Audio,67.66413622100134,Unstructured,0,66.90162471555738,20.34385516703641,2.391245888752116,Compression,Optimal
1024,B92,Post-Quantum,62.88258418933348,82.50278298644906,769.950730829458,9.928640896488247,2.370904973358929,75.0074217984845,180.90349852845367,Low,None,High,15.996525266908613,89.64116006970347,77.47720895847776,Images,74.24974553254596,Structured,1,81.04696916559823,33.64275745150274,2.642707853019508,Compression,Suboptimal
128,E91,Post-Quantum,25.519728030766622,56.20313106685732,518.8373296538267,47.241982838905855,2.751341922963518,64.91859944786447,177.3059874882509,High,Quantum Attack,Medium,33.31441614014908,90.13358304956954,187.62236884725456,Mixed,52.839759696194726,Unstructured,0,54.2915485412488,61.860854520668596,2.814498819132725,Caching,Suboptimal
256,SARG04,Post-Quantum,73.56592514800789,72.89869999730251,914.8610102699542,15.273025525126926,4.791128551101494,64.23461118837018,16.197166558514773,High,Man-in-the-Middle,High,11.11810539571853,81.84586157343867,162.1941603940925,Text,3.7038982478240134,Unstructured,1,25.793085230388275,15.62620678728075,4.6316020022662165,Caching,Suboptimal
256,B92,Post-Quantum,20.060813662769696,16.27034122763282,752.0237727406536,20.38330802127826,2.2910146428858758,91.2431825107383,138.63171699517,Low,None,Low,42.23588484467831,92.44378620116176,131.76709584689303,Mixed,44.84186229251902,Unstructured,0,84.41494462267202,27.742080894975807,2.6977182774070383,Compression,Suboptimal
1024,E91,QKD,31.085836230990694,35.87290929889411,886.526394891489,22.077687564005135,2.0794210494588543,73.28267934343151,126.88640042032009,Low,None,High,4.374955811175646,84.1256610401687,280.6627610608928,Text,77.28645670715703,Unstructured,1,44.453473302334146,52.6773928461887,0.6223858665333957,Compression,Optimal
256,SARG04,Post-Quantum,26.57756022336983,77.83809562841839,823.2334665412632,32.551939293046914,3.5745593799723956,70.7853284061722,145.1523109485951,High,Man-in-the-Middle,High,6.531360567456984,83.36977281654885,690.2856826402974,Mixed,50.68708369881563,Semi-Structured,1,59.46277560984228,42.23457335562993,3.7563516807617816,Compression,Optimal
256,E91,Post-Quantum,36.902588962980644,14.468977507214966,476.5688222099023,28.49864192419198,1.5631454526641186,91.56395616591976,120.93450400020848,Low,Side Channel,Medium,38.937133817040184,82.84179745407079,755.9244568179978,Audio,12.107060231381311,Structured,0,55.830256239438995,71.4969175510732,4.753709641728216,Parallel Processing,Suboptimal
256,E91,Hybrid QKD,75.10953757152889,46.0665806897284,15.911253371125495,28.560664688451904,0.4075952210635708,80.69376008666194,158.69691048826743,Low,Quantum Attack,Low,37.629115586423524,80.7851104062219,127.48152738003883,Images,35.60347759617978,Unstructured,0,49.90667360696996,17.503397108018394,4.816362112086929,Parallel Processing,Suboptimal
